Name,MetadataID,ResourceIdentifier,Summary,OrganisationName,Information_owner_organization,ContactMailAddress,date
"Avrinningsområden dagvatten (Tekniska, Vattenförekomst) - Öppna Data",a2ca0737-61cc-4434-bd7b-920b5c98f5da,---,"Avrinningsområden för dagvatten symboliserat på vattenförekomst med hänsyn tagna till tekniska system. Polygoner uppdelade på Utloppstyp - Utloppspunkt (i dagvattenledningsnätet), Reningsverk, Mark (diffus avrinning) och Odefinierad.",Stockholm Vatten och Avfall,Stockholm Vatten och Avfall,gis@svoa.se,2023-05-03
SBK Tätortskarta (Stockholms län) (1:12000 - 1:18000),8c57878e-c0a3-4a63-9e24-ef89680ab3a6,42c3782f-84e7-4395-a5ae-b43258ae782c,"Tätortskartan är en översiktskarta som täcker hela Stockholms län, den är anpassad för skalintervallet 1:12 000 till 1:18 000. Innehållet i Tätortskartan är generaliserat både till form och omfattning och Tätortskartan lämpar sig därmed att visas i vyer över stora områden. Den milda färgsättningen gör att kartan med fördel kan användas som bakgrundskarta.Innehållet inkluderar t ex olika markslag, offentliga byggnader, bebyggelse i tätort och glesbygd, anläggningar, spårnät, vägnät med gatunamn och adressnummer. OBS Från och med 1 januari 2021 ajourhålls tätortskartan endast innanför Stockholm stads kommungränser, och informationen utanför kommungränsen kommer på sikt att bli inaktuell. Från 1 januari 2022 kommer produkten troligen utgå och ersättas av annan översiktskarta.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
LÅP-åtgärder SVOA - Öppna data,6db010bf-8047-425d-b71b-535cd959baaf,3908b733-6e24-4aeb-8a66-b4da5b584290,Platser där åtgärder ska göras för att förbättra vattenkvaliteten inom det Lokala Åtgärdsprogrammet. Områdena har tagits fram av Utredningsenheten på Ledningnät i samarbete med berörda kommuner.,Stockholm Vatten och Avfall,Stockholm Vatten och Avfall,gis@svoa.se,2023-05-16
"SBK Sociotopkartan - kvaliteter i parker, natur och andra offentligt tillgängliga områden (2022) (internt SBK)",8490bedc-2d2b-4e95-978f-137a152ca2ea,90671ea8-f3ee-49c9-beb2-777264df59b0,"En sociotop är en offentligt tillgänglig park, naturområde eller annan obebyggd yta där det känns trevligt att vara. Sociotopkartan visar var områdena finns i Stockholm och vilka kvaliteter de olika områdena har. Sociotopkartan är ett planeringsunderlag som kan användas i stadens fysiska planering (översikts-, områdes- och detaljplanering) för att visa tillgången på  kvaliteter i parker och naturområden. Version 2022 är en justering jämfört med tidigare versioner genom att vägytor och privata fastigheter har tagits bort där de har identifierats. Följande sociotoptyper finns: Grön oas (park eller grönområde som är trevligt att vistas i)LekplatsNaturlek (grönområde som fungerar bra att leka i)PromenaderRofylldhetBlomprakt (rik blomning och trädgårdsodling)Bollspel (inhägnad rektangulär yta med grus, gräs eller konstgräs)Bollek (plan yta med grus, gräs eller konstgräs)ParklekPicknick (solbelysta stora gräsplaner eller park- och klippstränder)GrillningPulkaåkningOdling (möjlighet att odla i t.ex. koloniträdgårdar)LöpträningSkogskänslaUtsiktDjurhållningVattenkontaktUtomhusbad (bryggor, sand- eller klippstrand utan båttrafik eller utomhusbassänger)SkridskoåkningNaturupplevelse (våtmarker, gamla skogar, naturstränder)EvenemangFolklivTorghandel",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
SBK Baskarta - Byggnadsanläggningar,5077f026-172d-48bf-b1ec-ff3fa452c9f7,463c0212-70bd-4651-afc2-bb1521deedf6,"Byggnadsanläggningar bestod av följande undertyper (subtyper) vid informationsklassningen 2020 (för aktuell lista se Allmän produktspecifikation Baskartan) :  10, Altan, modifierbar, aktiv20, Lanternin, modifierbar, aktiv30, Skärmtak, modifierbar, aktiv40, Ospec. anläggning, modifierbar, aktivNärmare beskrivning i dokumentet Allmän produktspecifikation Baskartan och i Karthandboken",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
Bom,LvFeature5630012,40c5bbd2-c5f1-414c-bcfc-e74d41b90379,"Mekanisk anordning för trafikreglering. Punktobjekt. Inom Stockholms kommun. Verksamhet Trafikplanering, Teknik, Trafikkontoret",Stockholms stad - Trafikkontoret,Stockholms stad - Trafiknämnd,funktionsbrevlada.tk.open.data@stockholm.se,2023-04-05
Trafikflöde Cykel,LvFeature15489448,a7c67f9f-7e0b-4561-9adf-fb06db79f8a9,"Geometri som beskriver trafikflöden. Linjegeometri. Enbart för kommunalt vägnät. Verksamhet Analys & Dialog, Trafikplanering, Trafikkontoret. Trafikflödeskartan cykel innehåller uppgifter om trafikmängder i Stockholm uppdelat på cykel, per vardagsmedeldygn och för en vissa tidsperiod över dygnet. Data avser 2017 och täcker Norrmalm, Stockholms kommun.",Stockholms stad - Trafikkontoret,Stockholms stad - Trafiknämnd,funktionsbrevlada.tk.open.data@stockholm.se,2023-04-05
SBK Ortofoto (2009),1e946ed6-9ca0-4916-8592-aa23aab96bca,efc46504-4d41-4993-b3fb-3755332bac41,"Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Användningsområden:  Ortofoton kan användas för exempelvis planering och projektering eller visualiseringar.. De olika årgångarna kan användas för jämförelsestudier. De är också lämpliga att använda för tryck och kan sampresenteras med andra kartprodukter.Flyghöjd: 900 mUpplösning: 8 cm/pixelOrtofotot är inte så bra eftersom det inte har tillräckligt bra övertäckning, vilket resulterar i många lutande hus.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
SBK Baskartan - Teknikanläggningar,a1d42812-bda7-4008-9435-5a5291a63868,2c0c8b0d-f983-47e4-8116-a43a31dbc46a,"Teknikanläggningar bestod av följande undertyper (subtyper) vid informationsklassningen 2020 (för aktuell lista se Allmän produktspecifikation Baskartan) :Elnät10, Högspänningsledning, modifierbar, aktiv20, Kraftledning, stam, modifierbar, aktiv30, Kraftledning, region, modifierbar, aktivTeknikanläggning10, Belysningsmast, modifierbar, aktiv20, Belysningsstolpe, modifierbar, aktiv30, Elskåp, modifierbar, aktiv40, Eluttag, modifierbar, aktiv50, Telemast, modifierbar, aktiv60, Teleuttag, modifierbar, aktiv70, Transformator, modifierbar, aktiv80, Mobiltelemast, modifierbar, aktiv90, Bassäng, modifierbar, aktiv100, Brunn, modifierbar, aktiv110, Dusch, modifierbar, aktiv120, Nedstigningsbrunn, modifierbar, aktiv130, Högspänningsfundament, modifierbar, aktiv140, Högspänningsstolpe, modifierbar, aktiv150, Skidliftsfundament, modifierbar, aktiv",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
SBK Stadskarta (1:4000 - 1:8000),0eed76ad-7a89-4da1-9766-e9fcf7b31789,16e1e2b8-3047-4649-a980-098de5b445b5,"Stadskartan är en översiktskarta anpassad för skalintervallet 1:4 000 till 1:8 000. Den varma och milda färgsättningen i kombination med det detaljerade innehållet gör stadskartan lättläst och lämplig att användas både i tryck och webbanpassade versioner. Stadskartans generaliserade innehåll gör att kartan är tydlig även när större geografiska områden ska visas och den kan därmed användas som bakgrundskarta när verksamhetsspecifik information ska tydliggöras. Den används även som en egen informationsbärande karta. Innehållet inkluderar t ex administrativa gränser, kvarter, fastigheter, alla byggnader, gator, adressnummer, naturområden och spårnät.Gällande WMS-tjänsterna: applikationer som implementerar WMS Tiling Client Recommendation rekommenderas att använda den tilade WMS-tjänsten.Datamängden registerenhet ingår inte den öppna data versionen av Stadskartan.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
Stockholms äldre bygglovsritningar,af2d5c77-67ec-450a-89b9-65679f444e3b,a1484e37-bc14-494f-bffd-177d80f94b40,"Arkivet är en lång serie av bygglovsansökningar som som till sitt innhåll speglar framväxten av Stockholms stad från tidigt 1700-tal fram till idag. Här finns Stockholms äldre bygglovsritningar, från tidigt 1700-tal till 1874 som har skannats och är tillgängliga digitalt.   Till varje bild hör en registerpost,  med uppgifter från ritningen: adress, kvarter, arkitekt, beställare m.m.  BIldern äri JPEG-format med uppläsning 150 dpi. För registerposter fram till 1859 finns mer detaljerade uppgifter hämtade från ritningen, adresser, arkitekt, vem som ansökt om bygglov etc. Registret är mer detaljerat ju äldre ritningen är. Före 1810 skrevs nämligen många kommentarer direkt på ritningen.Registerposter efter 1859 innehåller med några undantag, endast Arkivbeteckning, SsaId, år och bildfilens namn.Endast ritningar finns med i uttaget. Skrivna ansökningar om tillstånd att få installera järnkamin eller andra små åtgärder innehåller sällan någon ritning, utan bara text och finns inte med i uttaget.",Stadsarkivet - Ledningsstöd,Stockholms stad - Kulturnämnd,johan.gidlof@stockholm.se,2019-10-22
"Avrinningsområden dagvatten (Tekniska, Recipient) - Öppna data",cec9c1de-29e0-4b29-8829-b63dd0f685e3,6cebd18c-e7f5-4b3f-9d49-aec9a31402ad,"Avrinningsområden för dagvatten symboliserat på recipient med hänsyn tagna till tekniska system. Polygoner uppdelade på Utloppstyp - Utloppspunkt (i dagvattenledningsnätet), Reningsverk, Mark (diffus avrinning) och Odefinierad.",Stockholm Vatten och Avfall,Stockholm Vatten och Avfall,gis@svoa.se,2023-05-03
SBK Ortofoto (2000),fbaab56f-6c68-490a-b002-37c9cb6e600b,d3d1414c-1252-46e1-abfc-30280d75c195,"Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Användningsområden:  Ortofoton kan användas för exempelvis planering och projektering eller visualiseringar.. De olika årgångarna kan användas för jämförelsestudier. De är också lämpliga att använda för tryck och kan sampresenteras med andra kartprodukter. Flyghöjd: 1500 m, upplösning: 16 cm/pixel i ortofoto.  Detta ortofoto finns bara tillgängligt som rasterpyramid i dpMap.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
Stadsmuseets kulturhistoriska klassifcieringskarta,59b72fb2-0588-4fda-88af-53d7772055bc,---,"Stockholms stadsmuseum ansvarar för att peka ut och definiera kulturhistoriskt värdefull bebyggelse i Stockholms stad. Klassificeringen grundas på de inventeringar Stadsmuseet kontinuerligt gjort sedan 1970-talet och omfattar bebyggelse uppförd före 1960 eller 1990. Ställningstagandet om stadens kulturhistoriska klassificering fattas av Stadsmuseets chef, stadsantikvarien, på delegation av kommunfullmäktige. Klassificering av stadens bebyggelse är ett pågående arbete och nya klassificeringar förs in på den digitala kartan.",Stockholms stad - Kulturförvaltningen,---,info.stadsmuseum@stockholm.se,2020-05-27
Kommuntryck 1990-2009,c11f9a01-c65d-474b-ac4d-86c29dd9dc6f,---,"Samtliga tryckta volymer ur serien Stockholms kommunfullmäktiges handlingar från 1990 till 2009, skannade till JPEG-filer.",Stockholms stadsarkiv,---,johan.gidlof@stockholm.se,2016-10-10
SBK Baskartan - Övriga anläggningar,00535831-5e41-4aab-a765-0a79f6c8e694,b76de49b-b630-4dee-98cb-d5f9bb87cbb8,"Övriga anläggningar bestod av följande undertyper (subtyper) vid informationsklassningen 2020 (för aktuell lista se Allmän produktspecifikation Baskartan) :Övrig anläggning10, Ospec. anläggning, modifierbar, aktiv",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
Ekdatabasen - Ekar (2017),42eeca58-5864-4c86-b7f2-2333f1614c3a,c1aca559-4174-411e-b7d7-433fcfdae554,"Ekområden och punktskiktet ekar från 2006 uppdaterats 2017 med hjälp av nya fältinventeringar och flygbildstolkning utifrån skötselaspekter, samt komplettering med nyfunna jätteekar. Shp-filen Kärnområden är dock densamma som skapades 2007 utifrån inventeringen 2006, eftersom inga nya värdeklassningar har gjorts inom projektet. Polygonerna visar områden med kluster av ekområden och karterade ekar som bedömts som kärnområden för Stockholm stads Ekmiljöer. Buffertzoner på 250 m gjorda runt alla klass- 1 och 2-ekar från punktskiktet ”Ekar” har legat till grund för den geografiska avgränsningen. Övriga kriterier har varit förekomst minst en klass 1- ekområde i ett kärnområde samt totalt minst 30 grova ekar av klass 1-3, varav minst 10 värdefulla ekar av klass 1-2.Mer information; Data har framställts för projektet ”Stockholms Unika Ekmiljöer” på uppdrag av markkontoret, Stockholms Stad. Beskrivning av metoden finns i Rapporten ”Stockholms unika ekmiljöer – Metodutveckling och litteraturstudie 2006-10-01”. Analysresultat samt mer information finns i slutrapport ”Stockholms unika ekmiljöer – Förekomst, bevarande och utveckling” skriven av Ekologigruppen AB, maj 2007. ",Miljöförvaltningen,Stockholms stad - Miljö- och hälsoskyddsnämnd,miljodata@stockholm.se,2023-04-17
"SBK Punktmoln, flygburen laserskanning (2017, 2018, 2019) - infärgad med ortofoto (2018, 2019) (internt SBK)",6ed38cfb-a704-4e6f-b523-3c7000ce15c6,69e5524b-f555-4251-a8b0-29fadd84831b,"Punktmolnet är en sammanslagning av flera års flygburen laserskanning utförd av COWI AB över Stockholms stad under april 2017, april-maj 2018 samt april 2019. Punkttätheten är minst 12 punkter/m2 på marken.Punkterna har inte ajourförts sedan de skapades. Det innebär att för områden som har förändrats sedan skanningstillfället stämmer inte koordinaterna för punkterna.Punkterna är klassificerade i mark, byggnad, vatten, bro och övrigt. Markklassificeringen är manuellt kontrollerad medan byggnadsklassningen är helt automatiskt utförd och kan vara av varierande kvalitet.Punktmolnet har färgsatts med hjälp av ortofotot från respektive år, vilket innebär att varje punkt har tilldelats ett RGB-värde från motsvarande pixel i ortofotot. Täcker stora hela Stockholms kommun (ej vissa delar i nordvästra delen av Stockholm).",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
Slussen i 3D,76bcfedd-4e98-4233-9a1f-8db9dfe04ae9,---,"Ett punktmoln från en laserscanning av gamla Slussen samt fotografier för infärgning av punkterna för att skapa en modell av hur Slussen såg ut innan den revs.Skanningen är utför från slutet av 2014 till hösten 2015. Modellen har satts ihop av över en miljard mätpunkter som skannats in från 70 olika platser vid Slussen. För att färgsätta modellen har runt 1200 foton tagits av Slussen.Datasetet består av 1 zip-fil som innehåller laserdata i LAS 1.2-format. Filen innehåller XYZ koordinater för punktmolnspunkter, intensiteten på laserreflektionen samt ett RGB värde för varje punkt i punktmolnet. Den informationen kan användas för att i programvaror som TerraScan (betalversion) eller QT Reader (gratis, http://appliedimagery.com/download/qtreader-64-bit/) granska och jobba med punktmolnen. Observera att punktmolnet har ett lokalt origo och är inte georefererat i SWEREF99 18 00/RH2000.",Stockholms stad - Kulturförvaltningen - Stadsmuseiavdelningen,---,mikael.almehag@stockholm.se,2020-01-08
SBK Ortofoto (2014),e25aa720-517c-465b-88d8-afcb5eee923c,e003bd50-78c3-449e-95b3-220274a69cab,Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Användningsområden:  Ortofoton kan användas för exempelvis planering och projektering eller visualiseringar.. De olika årgångarna kan användas för jämförelsestudier. De är också lämpliga att använda för tryck och kan sampresenteras med andra kartprodukter.Flyghöjd: 1300 mUpplösning: 8 cm/pixel,Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
SBK 3D-Byggnader (LOD1) generaliserade (internt SBK),88d3b57c-a914-4922-97a6-a9a76b1e0175,2de345cc-6139-4600-bb3e-155c3a140c65,"3D-Byggnader är modeller i tre dimensioner av byggnader upp till takets medianhöjd (enligt laserskanning från åren 2017, 2018 0ch 2019). Som bas för 3D-byggnadsblock har Stadskartans generaliserade 2D-byggnadsytor använts. Mindre byggnader som förråd och friggebodar finns inte med. 3D-Byggnader täcker hela Stockholms stad och kan bland annat användas för planering och visualisering av större områden. 3D-byggnadsblocken uppdateras årligen.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
Resultat Stockholms Skyfallsmodell (TK),3f6d0be8-7d5b-4af9-9d93-470806651728,66180761-9b99-49a0-a3dd-1b9c678a74a6,"Skyfall är ett regn som är så stort att det inte kan hanteras av dagvattensystemet och som innebär risker för liv, störningar på samhällsviktig verksamhet, allvarliga personella och materiella skador och skador på miljön. Dessa resultat kommer från Stockholms skyfallsmodell där simulering gjorts med 100-årsregn med klimatfaktor. Framtaget av Stockholm Vatten och avfall/Miljöförvaltningen och förvaltas och distribueras av Trafikkontoret i Stockholms stad.",Stockholms stad - Trafikkontoret,Stockholms stad - Trafiknämnd,funktionsbrevlada.tk.open.data@stockholm.se,2023-04-05
SBK Webservice - Webbtjänst för fastighetsinformationsregistret (FIR),8ca185f7-cd86-416f-8d59-958998009a11,e3d091bb-df43-45f3-8161-ffd37e54f980,"SBKWebservice är en webbtjänst (SOAP) som tillhandahåller data från fastighetsinformationsregistret (FIR).Tjänsten tillhandahåller information om fastigheter, byggnader, planer, adresser m.m.Kontakta nedan angivna resurskontakt för att få ytterligare information, tex tillgång till beskrivande dokument om SBKWebservice.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
Rotemansarkivet Södermalm,46113adb-fcf1-435e-a85c-d890ef8547cc,87b84b07-6ef2-4bfa-bad8-4c30b024d084,"Data handlar om  uppgifter om alla personer som bodde på Södermalm någon gång under åren 1878-1926. Under åren 1878-1926 fanns det s.k. Rotemanssystemet i Stockholm. Systemet innebar att alla boende registrerades i ett häfte ordnat efter fastighet, hushåll för hushåll inklusive anställda och inneboende. När man flyttade från fastigheten ströks man och skrevs in i ett annat häfte för det nya bostället.  På så sätt kan man i materialet följa en person mellan olika boendeadresser. Uppgifterna är registrerad med namn- och födelseuppgifter, yrke, civilstånd, in- och utflyttning utgör basuppgifter, liksom den fastighets- och adressuppgift som är gemensam för häftet. Genom kodning av ställning i hushållet och länkning till hushållsföreståndaren hålls hushållet ihop.Detta uttag, som öppna data omfattar 8 s.k. rotar, stadsdelsområden, från Södermalm. Alla uppgifter har registrerats med källtrogen stavning på namn och platser/orter.",Stadsarkivet - Ledningsstöd,Stockholms stad - Kulturnämnd,johan.gidlof@stockholm.se,2019-10-22
Ekdatabasen - Områden,0f1ba32c-19a6-4040-aa19-76ba9cbb3d4e,15c674fa-772f-4b3f-ae32-b247feb606e6,Kartering utförd 2006 av värdefulla ekmiljöer i Stockholms stad.,Miljöförvaltningen,Stockholms stad - Miljö- och hälsoskyddsnämnd,miljodata@stockholm.se,2023-06-09
Ekdatabasen - Kärnområden,74cfd75f-125c-4e44-b7fa-690311103fc4,278d9bd6-6f3a-4537-a4d1-3a4bd3ff0e5c,Kartering utförd 2006 av värdefulla ekmiljöer i Stockholms stad.,Miljöförvaltningen,Stockholms stad - Miljö- och hälsoskyddsnämnd,miljodata@stockholm.se,2023-04-17
"Bullerkarta 2022, vägTåg 2m Leq 24h",da565730-132d-41d7-a0b3-9b72cd29e112,a71bc5d8-bdbf-4f06-9b13-06fbae32adee,"Kartlagret visar beräknad ekvivalent ljudnivå, medelvärdesbildad över 24 timmar och inkluderar alla bullerkällor inklusive bakgrundsnivåer. Med alla bullerkällor avses ljud från vägtrafik på det statliga och kommunala vägnätet, ljud från järnvägslinjerna, tunnelbana, Tvärbanan, Roslagsbanan och övriga spårtrafikslag. Ingående data är baserat på faktiska registrerade trafikflöden under 2019 samt modellberäknade data för vägavsnitt där ingen mätning finns. Redovisade ljudnivåer ska ses som ett indikativt värde för platsen. Tillhandahålls av Miljöförvaltningen. För mer information se, Rapport R01 Bullerkartläggning av Stockholm - Enligt Naturvårdsverkets beräkningsmetoder.",Stockholms stad - Miljöförvaltningen,Stockholms stad - Miljö- och hälsoskyddsnämnd,miljodata@stockholm.se,2023-04-28
Toalett,LvFeature15303196,c41dcd0c-d1cb-4a1c-8e70-17ede78e53fa,"Punktgeometri visande Stockholms kommuns offentliga toaletter. Innehåller bl a värde om tillgänglighetsanpassning och betalform. Verksamhet Trafiksystem, Infrastrukturavdelningen",Stockholms stad - Trafikkontoret,Stockholms stad - Trafiknämnd,funktionsbrevlada.tk.open.data@stockholm.se,2023-04-05
SBK Ortofoto (2002),590534b4-bb80-4c52-857b-560e3a90481a,4fe62f9b-01af-43a3-8188-8b8daa0ea122,"Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Användningsområden:  Ortofoton kan användas för exempelvis planering och projektering eller visualiseringar.. De olika årgångarna kan användas för jämförelsestudier. De är också lämpliga att använda för tryck och kan sampresenteras med andra kartprodukter. Flyghöjd: 1500 m, upplösning: 16 cm/pixel i ortofoto.  Detta ortofoto finns bara tillgängligt som rasterpyramid i dpMap.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
Grundvattenkvalitet,Miljodata0024,08c553e9-f866-4cd8-ac2e-ed11aa05175e,Grundvattenundersökning 2012-2013.,Miljöförvaltningen,Stockholms stad - Miljö- och hälsoskyddsnämnd,miljodata@stockholm.se,2020-05-18
SBK Baskarta - Markanläggningar,8486a487-cfbb-4876-819b-a65be8d1658b,cafc25ef-1cf5-4cfc-82ba-72d7622557b1,"Markanläggningar bestod av följande undertyper (subtyper) vid informationsklassningen 2020 (för aktuell lista se Allmän produktspecifikation Baskartan) :Idrottsanläggning10, Motionsspår, modifierbar, aktiv20, Badmintonhall, modifierbar, aktiv30, Bassängbad, modifierbar, aktiv40, Bollplan, modifierbar, aktiv50, Bowlinghall, modifierbar, aktiv60, Campingplats, modifierbar, aktiv70, Golfbana, modifierbar, aktiv80, Idrottshall, modifierbar, aktiv90, Idrotts- o simhall, modifierbar, aktiv100, Ishall, modifierbar, aktiv110, Konstisbana, modifierbar, aktiv120, Korthålsgolfbana, modifierbar, aktiv130, Minigolfbana, modifierbar, aktiv140, Motionscentral, modifierbar, aktiv150, Rackethall, modifierbar, aktiv160, Ridhus, modifierbar, aktiv170, Simhall, modifierbar, aktiv180, Skidbacke, modifierbar, aktiv190, Skjutbana, modifierbar, aktiv200, Sol- o duschbad, modifierbar, aktiv210, Sportfält, modifierbar, aktiv220, Squashhall, modifierbar, aktiv230, Strandbad, modifierbar, aktiv240, Tennisbana, modifierbar, aktiv250, Tennishall, modifierbar, aktiv260, Varmbad, modifierbar, aktiv270, Idrottsplats, modifierbar, aktiv280, Fotbollsmål, modifierbar, aktiv290, Skidlift, modifierbar, aktiv300, Trav- och galoppbana, modifierbar, aktiv310, Motorbana, modifierbar, aktivMarkanläggning10, Bank/Skärning, modifierbar, aktiv20, Slänt, modifierbar, aktiv30, Stödmur, modifierbar, aktiv40, Grind, modifierbar, aktiv50, Mur, modifierbar, aktiv60, Staket, modifierbar, aktiv70, Stenmur, modifierbar, aktiv80, Grusplan, modifierbar, aktiv90, Gräsplan, modifierbar, aktiv100, Asfaltplan, modifierbar, aktiv110, Torg, modifierbar, aktiv120, Begravningsplats, modifierbar, aktiv130, Djurpark, modifierbar, aktiv140, Nöjesanläggning, modifierbar, aktiv150, Bullerskydd, modifierbar, aktivMarkslagsgräns10, Bergkant, modifierbar, aktiv20, Annan markslagsgräns, modifierbar, aktiv",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
"Groddjur 2021, lekvatten",b43e6d9b-2195-4708-b424-211cbe077957,68ee901a-25f0-47cb-b21f-5aa5d2a84969,Kartläggning av våtmarker och dammar samt delar av större vatten som kan fungera som lekvatten för groddjur.Kartläggningen bygger på skärmdigitalisering av olika underlag såsom Ortofoto 2019 Stockholms stad och Tätortskartan Stockholms län 2012. Vattensamling/damm från Stockholms Biotopkarta 2009 har tillförts skiktet samt information från olika groddjursinventeringar och observationer ur databaserna ArtArken och Artportalen.,Stockholms stad - Miljöförvaltningen,Stockholms stad - Miljö- och hälsoskyddsnämnd,miljodata@stockholm.se,2022-01-24
Exploateringskontorets byggnadsregister,6f12de09-98e8-4790-8527-f24dac98b5ec,---,"Uppgifter ur Exploateringskontorets byggnadsregister, samtliga fastigheter i Stockholm: hus, hustyper, användning, mm Uppgifterna representerar fyra uttag ur registret, åren 1987,1992, 1997 och år 2000.",Stockholms stadsarkiv,---,johan.gidlof@stockholm.se,2016-10-10
Staockholm stads arrenden,15486cbd-0647-4a9f-8223-047e4f22bcab,---,Karta som visar mark som Stockholm stad arrenderar ut tillsammans med ärendenummer.,---,---,---,2017-07-03
SBK Ortofoto (2015),e1007629-6720-4434-8a4e-c3d7f529a845,4aecd016-c50a-4ca9-a04a-d30cc34855db,Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Användningsområden:  Ortofoton kan användas för exempelvis planering och projektering eller visualiseringar.. De olika årgångarna kan användas för jämförelsestudier. De är också lämpliga att använda för tryck och kan sampresenteras med andra kartprodukter.Flyghöjd: 1300 mUpplösning: 8 cm/pixel,Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
Årstrafik,LvFeature5680392,e540beeb-0962-4443-b874-2b9fe546c56a,"Årstrafik kan innehålla ÅMVD, ÅDT eller liknande medelvärden för trafikmängder uppdelat på lätta och tunga fordon. Vidare finns flöden per timme, medelhastighet, medianhastighet, 85-percentil av hastighet, flöde maxtimme förmiddag och eftermiddag.",Stockholms stad - Trafikkontoret,Stockholms stad - Trafiknämnd,funktionsbrevlada.tk.open.data@stockholm.se,2023-04-05
SBK Stadskarta - Övriga data,368b6586-1ba8-413d-8046-45115c2020ff,44ad64ba-0b14-4f04-98ba-ddf83e67a56a,"Stadskartan - Övriga data bestod av följande undertyper (subtyper) vid informationsklassningen 2020 (för aktuell lista se Allmän produktspecifikation Stadskartan) :451550, KvalitetsområdeUndertyper10, Kvalitetsområde, modifierbar451774, MaskningsytaUndertyper10, Maskningsyta, modifierbar",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
